timestamp,open_price,close_price,high,low,volume
1512310000,0.0675,0.067481,0.0675,0.067331,45.48832033
1512310000,0.067338,0.0675,0.0675,0.067338,129.3306063
1512310000,0.067442,0.067267,0.06748,0.067111,53.0620304
1512310000,0.067314,0.0674,0.0675,0.066864,160.0042209
1512310000,0.0675,0.067435,0.0675,0.067176,231.3990532
1512310000,0.067959,0.0675,0.067959,0.067,1337.151961
1512310000,0.06809,0.06788,0.06809,0.067573,357.5628997
1512310000,0.068108,0.068047,0.068108,0.067735,110.2334282
1512310000,0.068535,0.068157,0.068535,0.067943,168.8211411
1512300000,0.068775,0.068303,0.069072,0.068207,216.3165148
1512300000,0.068459,0.069154,0.069189,0.068459,191.6304881
1512300000,0.068384,0.06844,0.068781,0.06821,72.1894135
1512300000,0.068339,0.068377,0.068815,0.068318,69.29274777
1512300000,0.068722,0.06831,0.069055,0.068296,211.6745761
1512300000,0.069144,0.069086,0.069225,0.06838,141.5627888
1512300000,0.069154,0.069144,0.069536,0.069144,43.17847015
1512300000,0.069006,0.06937,0.06937,0.068873,28.83893408
1512300000,0.069116,0.069004,0.069165,0.069,9.10971752
1512300000,0.069229,0.069328,0.069341,0.069074,54.6821842
1512300000,0.069069,0.069133,0.069299,0.069069,36.23506832
1512290000,0.069228,0.069179,0.069299,0.069092,139.58026
1512290000,0.069061,0.069244,0.069299,0.069001,36.26334236
1512290000,0.06901,0.069186,0.069284,0.06901,4.95986783
1512290000,0.069233,0.069049,0.069282,0.069021,22.27197002
1512290000,0.069193,0.069284,0.069299,0.069123,39.85152469
1512290000,0.069231,0.069091,0.069299,0.069007,9.34098042
1512290000,0.069117,0.069231,0.069299,0.069093,41.03128984
1512290000,0.06922,0.069062,0.069221,0.069035,21.56331036
1512290000,0.06929,0.06922,0.06929,0.069188,96.70517729
1512290000,0.06929,0.06929,0.069334,0.06929,3.67776725
1512290000,0.069291,0.06929,0.06953,0.06929,61.47407481
1512280000,0.0694,0.06929,0.06973,0.06929,22.60645688
1512280000,0.069606,0.069405,0.069715,0.069378,9.17866932
1512280000,0.069844,0.069495,0.069886,0.069495,32.16895536
1512280000,0.06973,0.069621,0.069949,0.069621,16.73636578
1512280000,0.069698,0.069555,0.069727,0.06929,34.29180964
1512280000,0.069565,0.069709,0.07025,0.06929,219.3559453
1512280000,0.06958,0.069571,0.0696,0.06929,42.67354266
1512280000,0.069408,0.06929,0.069427,0.06929,47.86630844
1512280000,0.06929,0.06929,0.069577,0.06929,497.5255006
1512280000,0.069563,0.06929,0.069643,0.06929,78.48666138
1512280000,0.069453,0.06955,0.06962,0.06945,47.03021024
1512270000,0.069448,0.069453,0.069521,0.0693,51.88727156
1512270000,0.06975,0.069295,0.069845,0.069295,72.01580117
1512270000,0.069797,0.06975,0.069927,0.06975,263.6469921
1512270000,0.06978,0.069879,0.06989,0.06953,312.9851575
1512270000,0.0694,0.069819,0.069833,0.0694,33.87594186
1512270000,0.069385,0.0694,0.069742,0.06929,122.8854279
1512270000,0.069331,0.0693,0.069488,0.0693,149.4485132
1512270000,0.0693,0.069351,0.069458,0.06929,122.2430395
1512270000,0.069503,0.06934,0.069752,0.06929,100.8531274
1512270000,0.06956,0.069501,0.069796,0.069355,25.41735612
1512270000,0.069608,0.06952,0.069805,0.069299,21.11637254
1512260000,0.069784,0.06978,0.069804,0.069542,30.48637597
