timestamp,amount_lent,amount_used,rate
1471656795,1494.129201,1274.501486,10.1268
1471660406,1491.122025,1271.49431,10.3252
1471663980,1474.794579,1252.879179,10.4616
1471667575,1474.744238,1252.828839,10.4616
1471671195,1474.847853,1252.932453,10.4616
1471674785,1476.966876,1255.051476,10.4588
1471678384,1479.148621,1255.233222,10.4475
1471681977,1493.748151,1269.832752,10.4904
1471685574,1466.342655,1242.427256,10.5008
1471689170,1466.98405,1243.293383,10.5033
1471692789,1466.983413,1243.292747,10.5039
1471696385,1452.686218,1233.234107,10.5363
1471699974,1457.031194,1237.579083,10.5316
1471703594,1458.571101,1239.168118,10.4745
1471707184,1543.392844,1323.917043,10.4405
1471714320,1563.64733,1344.171529,10.4429
1471717920,1586.324183,1366.848382,10.442
1471721506,1590.309497,1370.906514,10.5611
1471725126,1611.182958,1391.779975,10.5515
1471728710,1610.034026,1390.631043,10.5555
1471732323,1620.639265,1401.236282,10.5512
1471735910,1623.913555,1404.510572,10.5457
1471739517,1620.522439,1401.119456,10.5347
1471743103,1634.273418,1414.870435,10.5292
1471746718,1636.414912,1414.605415,10.5102
1471750306,1628.332682,1406.523186,10.5096
1471753923,1620.294376,1398.48488,10.5129
1471757506,1624.604741,1402.795244,10.5111
1471761115,1621.46531,1399.655814,10.5133
1471764701,1606.909651,1385.100155,10.5179
1471768307,1618.240136,1396.43064,10.506
1471771911,1618.116467,1396.684584,10.5045
1471775513,1622.160897,1400.729014,10.4911
1471779116,1639.160195,1417.728311,10.4724
1471782716,1635.819514,1414.387631,10.4715
1471786304,1636.365365,1414.933481,10.4697
1471789912,1658.75347,1439.5281,10.4168
1471793491,1576.475136,1357.249766,8.3283
1471797104,1571.966649,1352.741279,8.3116
1471800705,1580.376523,1361.151153,8.2987
1471804283,1587.59054,1368.552711,8.3859
1471807899,1587.577845,1368.550016,8.4013
1471811508,1605.378641,1386.350811,8.3
1471815095,1613.945938,1394.918108,8.2909
1471818708,1628.812094,1409.861992,8.2736
1471822293,1625.456572,1406.50647,8.2521
1471825901,1619.990185,1401.040083,8.2294
1471829510,1611.733013,1392.782911,8.2008
1471833091,1624.694897,1405.744795,8.1829
1471836681,1620.60871,1401.658608,8.1642
1471840287,1632.631018,1413.480915,8.1284
1471843897,1646.663524,1427.513422,8.1325
1471847478,1667.359237,1448.209135,8.153
1471851091,1672.263814,1453.113712,8.1592
1471854686,1589.486282,1369.960027,6.3503
1471858303,1589.578963,1370.052708,6.3476
1471861882,1589.262155,1369.7359,6.3396
1471865500,1550.164845,1330.63859,6.2602
1471869084,1539.963091,1320.436836,6.2407
1471872690,1554.478617,1334.610408,6.2299
1471876305,1566.781116,1347.631014,6.508
1471879893,1559.421014,1328.628851,6.3504
